dateP;dateQ;P_mm;Q_ls;year
2023-03-09 13:34:00;2023-03-09 13:34:00;0.0;22.4113861961768;2023
2023-03-09 13:39:00;2023-03-09 13:39:00;0.0;24.2349994522625;2023
2023-03-09 13:44:00;2023-03-09 13:44:00;0.0;;2023
2023-03-09 13:49:00;2023-03-09 13:49:00;0.0;23.768742843008;2023
2023-03-09 13:54:00;2023-03-09 13:54:00;0.0;;2023
2023-03-09 13:59:00;2023-03-09 13:59:00;0.0;;2023
2023-03-09 14:04:00;2023-03-09 14:04:00;0.0;23.3093898527978;2023
2023-03-09 14:09:00;2023-03-09 14:09:00;0.0;;2023
2023-03-09 14:14:00;2023-03-09 14:14:00;0.0;24.0010080619214;2023
2023-03-09 14:19:00;2023-03-09 14:19:00;0.0;23.5382035288557;2023
2023-03-09 14:24:00;2023-03-09 14:24:00;0.0;;2023
2023-03-09 14:29:00;2023-03-09 14:29:00;0.0;;2023
2023-03-09 14:34:00;2023-03-09 14:34:00;0.0;;2023
2023-03-09 14:39:00;2023-03-09 14:39:00;0.0;;2023
2023-03-09 14:44:00;2023-03-09 14:44:00;0.0;23.0823015481676;2023
2023-03-09 14:49:00;2023-03-09 14:49:00;0.0;23.5382035288557;2023
2023-03-09 14:54:00;2023-03-09 14:54:00;0.0;23.0823015481676;2023
2023-03-09 14:59:00;2023-03-09 14:59:00;0.0;23.5382035288557;2023
2023-03-09 15:04:00;2023-03-09 15:04:00;0.0;23.5382035288557;2023
2023-03-09 15:09:00;2023-03-09 15:09:00;0.0;;2023
2023-03-09 15:14:00;2023-03-09 15:14:00;0.0;;2023
2023-03-09 15:19:00;2023-03-09 15:19:00;0.0;;2023
2023-03-09 15:24:00;2023-03-09 15:24:00;0.0;;2023
2023-03-09 15:29:00;2023-03-09 15:29:00;0.0;23.0823015481676;2023
2023-03-09 15:34:00;2023-03-09 15:34:00;0.0;;2023
2023-03-09 15:39:00;2023-03-09 15:39:00;0.0;;2023
2023-03-09 15:44:00;2023-03-09 15:44:00;0.0;;2023
2023-03-09 15:49:00;2023-03-09 15:49:00;0.0;;2023
2023-03-09 15:54:00;2023-03-09 15:54:00;0.0;;2023
2023-03-09 15:59:00;2023-03-09 15:59:00;0.0;;2023
2023-03-09 16:04:00;2023-03-09 16:04:00;0.0;23.5382035288557;2023
2023-03-09 16:09:00;2023-03-09 16:09:00;0.0;23.0823015481676;2023
2023-03-09 16:14:00;2023-03-09 16:14:00;0.0;;2023
2023-03-09 16:19:00;2023-03-09 16:19:00;0.0;;2023
2023-03-09 16:24:00;2023-03-09 16:24:00;0.0;;2023
2023-03-09 16:29:00;2023-03-09 16:29:00;0.0;23.5382035288557;2023
2023-03-09 16:34:00;2023-03-09 16:34:00;0.0;;2023
2023-03-09 16:39:00;2023-03-09 16:39:00;0.0;23.0823015481676;2023
2023-03-09 16:44:00;2023-03-09 16:44:00;0.0;23.5382035288557;2023
2023-03-09 16:49:00;2023-03-09 16:49:00;0.0;;2023
2023-03-09 16:54:00;2023-03-09 16:54:00;0.0;;2023
2023-03-09 16:59:00;2023-03-09 16:59:00;0.0;23.0823015481676;2023
2023-03-09 17:04:00;2023-03-09 17:04:00;0.0;23.3093898527978;2023
2023-03-09 17:09:00;2023-03-09 17:09:00;0.0;;2023
2023-03-09 17:14:00;2023-03-09 17:14:00;0.0;;2023
2023-03-09 17:19:00;2023-03-09 17:19:00;0.0;22.8569383482985;2023
2023-03-09 17:24:00;2023-03-09 17:24:00;0.0;;2023
2023-03-09 17:29:00;2023-03-09 17:29:00;0.0;23.3093898527978;2023
2023-03-09 17:34:00;2023-03-09 17:34:00;0.0;;2023
2023-03-09 17:39:00;2023-03-09 17:39:00;0.0;;2023
2023-03-09 17:44:00;2023-03-09 17:44:00;0.0;;2023
2023-03-09 17:49:00;2023-03-09 17:49:00;0.0;;2023
2023-03-09 17:54:00;2023-03-09 17:54:00;0.0;;2023
2023-03-09 17:59:00;2023-03-09 17:59:00;0.0;;2023
2023-03-09 18:04:00;2023-03-09 18:04:00;0.0;23.0823015481676;2023
2023-03-09 18:09:00;2023-03-09 18:09:00;0.0;;2023
2023-03-09 18:14:00;2023-03-09 18:14:00;0.0;22.6332999865237;2023
2023-03-09 18:19:00;2023-03-09 18:19:00;0.0;;2023
2023-03-09 18:24:00;2023-03-09 18:24:00;0.0;23.5382035288557;2023
2023-03-09 18:29:00;2023-03-09 18:29:00;0.0;23.0823015481676;2023
2023-03-09 18:34:00;2023-03-09 18:34:00;0.0;;2023
2023-03-09 18:39:00;2023-03-09 18:39:00;0.0;;2023
2023-03-09 18:44:00;2023-03-09 18:44:00;0.0;;2023
2023-03-09 18:49:00;2023-03-09 18:49:00;0.0;;2023
2023-03-09 18:54:00;2023-03-09 18:54:00;0.0;;2023
2023-03-09 18:59:00;2023-03-09 18:59:00;0.0;;2023
2023-03-09 19:04:00;2023-03-09 19:04:00;0.0;22.8569383482985;2023
2023-03-09 19:09:00;2023-03-09 19:09:00;0.0;22.4113861961768;2023
2023-03-09 19:14:00;2023-03-09 19:14:00;0.0;23.0823015481676;2023
2023-03-09 19:19:00;2023-03-09 19:19:00;0.0;22.6332999865237;2023
2023-03-09 19:24:00;2023-03-09 19:24:00;0.0;;2023
2023-03-09 19:29:00;2023-03-09 19:29:00;0.0;;2023
2023-03-09 19:34:00;2023-03-09 19:34:00;0.5;;2023
2023-03-09 19:39:00;2023-03-09 19:39:00;1.0;23.5382035288557;2023
2023-03-09 19:44:00;2023-03-09 19:44:00;0.0;;2023
2023-03-09 19:49:00;2023-03-09 19:49:00;0.0;24.0010080619214;2023
2023-03-09 19:54:00;2023-03-09 19:54:00;0.0;23.5382035288557;2023
2023-03-09 19:59:00;2023-03-09 19:59:00;0.0;23.0823015481676;2023
2023-03-09 20:04:00;2023-03-09 20:04:00;0.0;23.3093898527978;2023
2023-03-09 20:09:00;2023-03-09 20:09:00;0.0;;2023
2023-03-09 20:14:00;2023-03-09 20:14:00;0.0;;2023
2023-03-09 20:19:00;2023-03-09 20:19:00;0.0;;2023
2023-03-09 20:24:00;2023-03-09 20:24:00;0.0;;2023
2023-03-09 20:29:00;2023-03-09 20:29:00;0.0;;2023
2023-03-09 20:34:00;2023-03-09 20:34:00;0.5;;2023
2023-03-09 20:39:42;2023-03-09 20:39:00;0.5;24.0010080619214;2023
2023-03-09 20:44:00;2023-03-09 20:44:00;0.0;;2023
2023-03-09 20:49:15;2023-03-09 20:49:00;0.5;24.4707172806979;2023
2023-03-09 20:54:00;2023-03-09 20:54:00;0.0;;2023
2023-03-09 20:59:00;2023-03-09 20:59:00;0.0;;2023
2023-03-09 21:04:00;2023-03-09 21:04:00;0.0;24.2349994522625;2023
2023-03-09 21:09:00;2023-03-09 21:09:00;0.0;24.7081618138945;2023
2023-03-09 21:14:00;2023-03-09 21:14:00;0.0;;2023
2023-03-09 21:19:00;2023-03-09 21:19:00;0.0;25.1882320612374;2023
2023-03-09 21:24:00;2023-03-09 21:24:00;0.0;24.7081618138945;2023
2023-03-09 21:29:00;2023-03-09 21:29:00;0.0;;2023
2023-03-09 21:34:00;2023-03-09 21:34:00;0.0;25.1882320612374;2023
2023-03-09 21:39:00;2023-03-09 21:39:00;0.0;;2023
2023-03-09 21:44:00;2023-03-09 21:44:00;0.0;;2023
2023-03-09 21:49:00;2023-03-09 21:49:00;0.0;;2023
2023-03-09 21:54:00;2023-03-09 21:54:00;0.0;;2023
2023-03-09 21:59:00;2023-03-09 21:59:00;0.0;25.6752123276244;2023
2023-03-09 22:04:00;2023-03-09 22:04:00;0.0;25.1882320612374;2023
2023-03-09 22:09:00;2023-03-09 22:09:00;0.0;;2023
2023-03-09 22:14:00;2023-03-09 22:14:00;0.0;;2023
2023-03-09 22:19:00;2023-03-09 22:19:00;0.0;;2023
2023-03-09 22:24:00;2023-03-09 22:24:00;0.0;25.9212943846262;2023
2023-03-09 22:29:00;2023-03-09 22:29:00;0.0;;2023
2023-03-09 22:34:00;2023-03-09 22:34:00;0.0;25.4308583087171;2023
2023-03-09 22:39:00;2023-03-09 22:39:00;0.0;25.9212943846262;2023
2023-03-09 22:44:00;2023-03-09 22:44:00;0.0;25.4308583087171;2023
2023-03-09 22:49:00;2023-03-09 22:49:00;0.0;25.9212943846262;2023
2023-03-09 22:54:00;2023-03-09 22:54:00;0.0;;2023
2023-03-09 22:59:00;2023-03-09 22:59:00;0.0;;2023
2023-03-09 23:04:00;2023-03-09 23:04:00;0.0;26.169104746389;2023
2023-03-09 23:09:00;2023-03-09 23:09:00;0.0;;2023
2023-03-09 23:14:00;2023-03-09 23:14:00;0.0;;2023
2023-03-09 23:19:00;2023-03-09 23:19:00;0.0;25.4308583087171;2023
2023-03-09 23:24:00;2023-03-09 23:24:00;0.0;25.9212943846262;2023
2023-03-09 23:29:00;2023-03-09 23:29:00;0.0;;2023
2023-03-09 23:34:00;2023-03-09 23:34:00;0.0;;2023
2023-03-09 23:39:00;2023-03-09 23:39:00;0.0;26.4186436795795;2023
2023-03-09 23:44:00;2023-03-09 23:44:00;0.0;;2023
2023-03-09 23:49:00;2023-03-09 23:49:00;0.0;25.9212943846262;2023
2023-03-09 23:54:00;2023-03-09 23:54:00;0.0;;2023
2023-03-09 23:59:00;2023-03-09 23:59:00;0.0;;2023
2023-03-10 00:04:00;2023-03-10 00:04:00;0.0;26.4186436795795;2023
2023-03-10 00:09:00;2023-03-10 00:09:00;0.0;25.9212943846262;2023
2023-03-10 00:14:00;2023-03-10 00:14:00;0.0;26.4186436795795;2023
2023-03-10 00:19:00;2023-03-10 00:19:00;0.0;;2023
2023-03-10 00:24:00;2023-03-10 00:24:00;0.0;25.9212943846262;2023
2023-03-10 00:29:00;2023-03-10 00:29:00;0.0;26.4186436795795;2023
2023-03-10 00:34:00;2023-03-10 00:34:00;0.0;;2023
2023-03-10 00:39:00;2023-03-10 00:39:00;0.0;25.4308583087171;2023
2023-03-10 00:44:00;2023-03-10 00:44:00;0.0;25.9212943846262;2023
2023-03-10 00:49:00;2023-03-10 00:49:00;0.0;26.4186436795795;2023
2023-03-10 00:54:00;2023-03-10 00:54:00;0.0;25.9212943846262;2023
2023-03-10 00:59:00;2023-03-10 00:59:00;0.0;28.4772157165003;2023
2023-03-10 01:04:00;2023-03-10 01:04:00;0.0;25.6752123276244;2023
2023-03-10 01:09:00;2023-03-10 01:09:00;0.0;;2023
2023-03-10 01:14:00;2023-03-10 01:14:00;0.0;26.169104746389;2023
